"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 21 05:40:17 GMT 2020","Mon Dec 21 05:40:18 GMT 2020","968","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Dec 21 05:40:18 GMT 2020","Mon Dec 21 05:40:19 GMT 2020","956","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Dec 21 05:40:22 GMT 2020","Mon Dec 21 05:40:24 GMT 2020","1423","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Dec 21 05:39:48 GMT 2020","Mon Dec 21 05:39:54 GMT 2020","5397","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Dec 21 05:40:21 GMT 2020","Mon Dec 21 05:40:22 GMT 2020","952","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Dec 21 05:40:11 GMT 2020","Mon Dec 21 05:40:17 GMT 2020","6132","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Dec 21 05:39:54 GMT 2020","Mon Dec 21 05:40:00 GMT 2020","6731","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"failed","Mon Dec 21 05:40:00 GMT 2020","Mon Dec 21 05:40:11 GMT 2020","10509","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"failed","Mon Dec 21 05:40:20 GMT 2020","Mon Dec 21 05:40:21 GMT 2020","937","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Dec 21 05:40:19 GMT 2020","Mon Dec 21 05:40:20 GMT 2020","1418","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
